256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
-30.2406833936065	-35.0925809658961	-27.3954111787594	-28.7357143755245	-28.7357143755245	-32.7527945281147	-40.947791216907	-25.220290562295	-44.7963761104753	-20.2037271686885	-38.2710142610819	-32.2473087510491	-31.9141476707103	-34.5909246265354	-33.0859556084535	-45.6350229678798	-29.7390270542458	-40.6146301365682	-46.638335646601
-32.5842992690929	-35.5942373052567	-30.7423397329671	-36.0958936446174	-27.0622500984207	-32.9174603494316	-41.2847817349508	-25.8904421606775	-42.2880944136721	-20.0352319096666	-36.4328841626612	-31.2439960723278	-30.7423397329671	-42.7897507530327	-33.2544508674754	-46.1366793072404	-30.5776739116503	-41.2847817349508	-49.4836078614481
-39.1096611184863	-36.9345405020218	-34.2577635461967	-46.3013451285573	-24.5539684016175	-39.611317457847	-42.2880944136721	-27.5639064377813	-40.6146301365682	-20.7053835080491	-36.7660452429999	-32.415804010071	-34.4224293675135	-42.456589672694	-36.597549983978	-46.1366793072404	-32.5842992690929	-44.4632150301366	-50.6515863614862
-36.0958936446174	-40.1129737972076	-39.4428221988251	-50.1499300221256	-26.3920985000381	-39.2743269398032	-42.1195991546502	-27.9008969558251	-38.106348439765	-20.3683929900053	-38.9411658594644	-33.9207730281529	-31.9141476707103	-43.6245681727321	-39.9444785381857	-47.9748094056611	-34.0892682871748	-47.3084872449836	-53.4968585763333
-29.0688754558633	-40.7831253955901	-35.261076224918	-37.7693579217212	-30.4091786526284	-43.1229118333715	-42.9582460120546	-28.9042096345464	-37.4361968413825	-21.2070398474098	-38.7726706004425	-35.0925809658961	-37.7693579217212	-48.6449610040436	-39.2743269398032	-52.3250506385901	-37.9378531807431	-49.3151126024262	-59.1874030060273
-28.4025532951858	-37.2677015823606	-32.415804010071	-29.7390270542458	-25.8904421606775	-39.9444785381857	-42.1195991546502	-28.2340580361639	-37.0992063233387	-20.3683929900053	-35.9312278233005	-33.5876119478141	-24.8871294819562	-42.1195991546502	-37.2677015823606	-50.3184252811475	-38.106348439765	-47.1399919859617	-57.0122823895628
-28.9042096345464	-33.4191166887922	-30.910834991989	-32.9174603494316	-23.8838168032349	-32.7527945281147	-40.4461348775463	-27.9008969558251	-36.597549983978	-20.3683929900053	-35.261076224918	-32.9174603494316	-26.8937548393988	-41.7864380743114	-36.9345405020218	-48.6449610040436	-37.6046921004044	-46.9714967269398	-54.8371617730983
-28.9042096345464	-32.7527945281147	-39.2743269398032	-40.1129737972076	-24.3854731425956	-34.4224293675135	-40.7831253955901	-28.9042096345464	-37.2677015823606	-20.5368882490272	-35.5942373052567	-33.2544508674754	-41.4494475562676	-41.9511038956283	-37.9378531807431	-48.8134562630655	-37.0992063233387	-46.638335646601	-52.9952022369726
-28.9042096345464	-36.0958936446174	-41.7864380743114	-50.8200816205081	-22.7120088654917	-40.7831253955901	-39.7798127168688	-29.4058659739071	-38.9411658594644	-20.3683929900053	-34.2577635461967	-32.2473087510491	-21.5402009277485	-45.1333666285191	-38.6080047791257	-51.1532427008469	-36.2643889036393	-46.3013451285573	-55.5034839337758
-34.5909246265354	-37.0992063233387	-29.7390270542458	-39.9444785381857	-24.0523120622568	-39.9444785381857	-40.1129737972076	-31.0793302510109	-40.947791216907	-20.3683929900053	-34.2577635461967	-32.7527945281147	-32.5842992690929	-45.7996887891966	-37.9378531807431	-53.830019656672	-36.597549983978	-46.3013451285573	-57.5139387289235
-32.0826429297322	-37.9378531807431	-31.9141476707103	-41.9511038956283	-27.9008969558251	-33.9207730281529	-40.4461348775463	-31.7456524116884	-41.7864380743114	-20.5368882490272	-38.4395095201038	-32.415804010071	-42.7897507530327	-48.9781220843824	-37.0992063233387	-56.675291871519	-37.4361968413825	-47.3084872449836	-60.1907156847486
-36.2643889036393	-36.0958936446174	-33.0859556084535	-44.6317102891585	-31.2439960723278	-34.5909246265354	-40.1129737972076	-32.9174603494316	-43.2914070923934	-20.7053835080491	-38.9411658594644	-34.2577635461967	-35.7627325642786	-49.1466173434043	-38.4395095201038	-57.1769482108797	-37.9378531807431	-48.6449610040436	-60.8570378454261
