256	10
Fp1	Fp2	F3	F4	F7	F8	Fz	C3	C4	Cz	T3	T5	T4	T6	P3	P4	Pz	O1	O2
-29.2373707148852	-38.106348439765	-33.5876119478141	-44.7963761104753	-33.2544508674754	-38.7726706004425	-37.2677015823606	-29.7390270542458	-51.6587284779126	-21.0385445883879	-38.7726706004425	-30.0760175722896	-38.4395095201038	-34.9279151445792	-35.261076224918	-45.9681840482185	-24.0523120622568	-37.9378531807431	-42.6212554940108
-31.0793302510109	-39.1096611184863	-34.2577635461967	-46.8068309056229	-32.0826429297322	-36.9345405020218	-36.7660452429999	-28.7357143755245	-51.3217379598688	-20.3683929900053	-37.6046921004044	-29.7390270542458	-31.0793302510109	-30.2406833936065	-33.756107206836	-44.4632150301366	-23.2136652048524	-36.7660452429999	-40.947791216907
-36.2643889036393	-34.7594198855573	-26.56059375906	-33.4191166887922	-31.2439960723278	-28.9042096345464	-36.2643889036393	-27.2307453574426	-49.6482736827649	-19.5335755703059	-37.0992063233387	-29.5705317952239	-35.7627325642786	-34.7594198855573	-31.2439960723278	-43.6245681727321	-23.0489993835355	-36.2643889036393	-40.947791216907
-29.7390270542458	-31.9141476707103	-27.7324016968032	-34.0892682871748	-31.7456524116884	-33.2544508674754	-37.2677015823606	-26.3920985000381	-50.1499300221256	-20.2037271686885	-41.1162864759289	-28.7357143755245	-31.9141476707103	-39.2743269398032	-31.0793302510109	-43.6245681727321	-23.715321544213	-36.7660452429999	-42.6212554940108
-24.8871294819562	-31.0793302510109	-27.7324016968032	-36.9345405020218	-29.2373707148852	-32.0826429297322	-36.4328841626612	-25.5572810803388	-49.3151126024262	-19.8667366506447	-34.5909246265354	-27.2307453574426	-29.9075223132677	-36.0958936446174	-30.7423397329671	-40.947791216907	-23.3821604638743	-34.4224293675135	-39.4428221988251
-25.0556247409781	-31.4124913313497	-30.5776739116503	-44.6317102891585	-27.5639064377813	-40.2814690562295	-35.4295714839399	-24.2169778835737	-50.1499300221256	-20.0352319096666	-34.5909246265354	-26.2274326787213	-26.3920985000381	-36.7660452429999	-31.7456524116884	-40.7831253955901	-22.5435136064698	-34.7594198855573	-39.1096611184863
-23.8838168032349	-30.5776739116503	-31.5809865903716	-47.6416483253224	-24.7186342229343	-36.597549983978	-35.5942373052567	-24.0523120622568	-51.1532427008469	-20.0352319096666	-34.2577635461967	-26.0589374196994	-29.0688754558633	-36.4328841626612	-32.0826429297322	-41.4494475562676	-22.0418572671092	-35.4295714839399	-40.2814690562295
-24.2169778835737	-31.0793302510109	-28.9042096345464	-34.2577635461967	-25.8904421606775	-32.2473087510491	-37.4361968413825	-23.5506557228962	-52.493545897612	-20.873878767071	-32.2473087510491	-27.0622500984207	-27.7324016968032	-33.5876119478141	-30.7423397329671	-43.6245681727321	-24.0523120622568	-36.4328841626612	-40.947791216907
-25.3887858213169	-32.7527945281147	-40.6146301365682	-34.2577635461967	-20.3683929900053	-31.2439960723278	-38.2710142610819	-23.2136652048524	-52.9952022369726	-20.3683929900053	-30.7423397329671	-28.5672191165026	-30.5776739116503	-37.7693579217212	-30.4091786526284	-43.9615586907759	-24.8871294819562	-37.0992063233387	-43.4599023514153
-27.7324016968032	-37.2677015823606	-19.365080311284	-40.4461348775463	-27.3954111787594	-33.5876119478141	-39.9444785381857	-23.2136652048524	-52.6620411566339	-20.0352319096666	-35.7627325642786	-28.2340580361639	-29.0688754558633	-37.9378531807431	-31.2439960723278	-43.1229118333715	-25.8904421606775	-37.2677015823606	-43.4599023514153
-31.7456524116884	-37.7693579217212	-30.7423397329671	-47.6416483253224	-33.0859556084535	-36.9345405020218	-41.2847817349508	-23.3821604638743	-51.1532427008469	-20.2037271686885	-36.597549983978	-27.2307453574426	-29.9075223132677	-37.9378531807431	-31.5809865903716	-42.7897507530327	-26.2274326787213	-35.7627325642786	-42.2880944136721
-34.2577635461967	-37.6046921004044	-35.0925809658961	-51.8233942992294	-30.5776739116503	-35.7627325642786	-41.9511038956283	-24.7186342229343	-50.1499300221256	-20.7053835080491	-36.4328841626612	-29.2373707148852	-30.5776739116503	-32.9174603494316	-33.756107206836	-44.4632150301366	-26.56059375906	-36.597549983978	-43.1229118333715
-29.2373707148852	-36.9345405020218	-30.7423397329671	-35.261076224918	-28.2340580361639	-30.4091786526284	-41.1162864759289	-25.0556247409781	-47.3084872449836	-20.2037271686885	-38.4395095201038	-32.5842992690929	-27.0622500984207	-29.7390270542458	-34.4224293675135	-44.6317102891585	-28.9042096345464	-40.1129737972076	-42.9582460120546
